frac, num_similar_relevant,num_similar_irrelevant,similarity_threshold_relevant,similarity_threshold_irrelevant, num_words_relevant, num_words_irrelevant, true_positive,true_negative,false_positive,false_negative,accuracy,precision,recall,f1_score
single,4,3,0.8,0.8,80,105,119,736,44,296,0.7154811715481172,0.7300613496932515,0.28674698795180725,0.411764705882353
single,4,3,0.8,0.8,80,110,86,750,30,329,0.699581589958159,0.7413793103448276,0.20722891566265061,0.3239171374764595
single,4,3,0.8,0.8,80,115,52,763,17,363,0.6820083682008368,0.7536231884057971,0.12530120481927712,0.21487603305785125
single,4,3,0.8,0.8,85,40,415,3,777,0,0.3497907949790795,0.34815436241610737,1.0,0.5164903546981954
single,4,3,0.8,0.8,85,45,415,19,761,0,0.3631799163179916,0.352891156462585,1.0,0.5216844751728472
single,4,3,0.8,0.8,85,50,414,35,745,1,0.3757322175732218,0.3572044866264021,0.9975903614457832,0.5260482846251588
single,4,3,0.8,0.8,85,55,412,90,690,3,0.4200836820083682,0.3738656987295826,0.9927710843373494,0.5431773236651285
single,4,3,0.8,0.8,85,60,410,133,647,5,0.45439330543933054,0.38789025543992434,0.9879518072289156,0.5570652173913044
single,4,3,0.8,0.8,85,65,405,185,595,10,0.49372384937238495,0.405,0.9759036144578314,0.5724381625441697
single,4,3,0.8,0.8,85,70,396,240,540,19,0.5322175732217573,0.4230769230769231,0.9542168674698795,0.5862324204293117
single,4,3,0.8,0.8,85,75,383,279,501,32,0.5539748953974896,0.4332579185520362,0.9228915662650602,0.5896843725943033
single,4,3,0.8,0.8,85,80,374,367,413,41,0.6200836820083682,0.47522236340533675,0.9012048192771084,0.6222961730449251
single,4,3,0.8,0.8,85,85,332,452,328,83,0.6560669456066945,0.503030303030303,0.8,0.6176744186046511
single,4,3,0.8,0.8,85,90,307,521,259,108,0.6928870292887029,0.5424028268551236,0.7397590361445783,0.6258919469928644
single,4,3,0.8,0.8,85,95,269,586,194,146,0.7154811715481172,0.5809935205183585,0.6481927710843374,0.612756264236902
single,4,3,0.8,0.8,85,100,216,660,120,199,0.7330543933054393,0.6428571428571429,0.5204819277108433,0.5752330226364847
single,4,3,0.8,0.8,85,105,173,704,76,242,0.7338912133891213,0.6947791164658634,0.41686746987951806,0.5210843373493975
single,4,3,0.8,0.8,85,110,132,734,46,283,0.7246861924686192,0.7415730337078652,0.3180722891566265,0.44519392917369305
single,4,3,0.8,0.8,85,115,88,749,31,327,0.700418410041841,0.7394957983193278,0.21204819277108433,0.3295880149812734
single,4,3,0.8,0.8,90,40,415,2,778,0,0.3489539748953975,0.34786253143336127,1.0,0.5161691542288558
single,4,3,0.8,0.8,90,45,415,10,770,0,0.35564853556485354,0.350210970464135,1.0,0.51875
single,4,3,0.8,0.8,90,50,414,25,755,1,0.3673640167364017,0.3541488451668092,0.9975903614457832,0.5227272727272727
single,4,3,0.8,0.8,90,55,413,59,721,2,0.39497907949790795,0.36419753086419754,0.9951807228915662,0.5332472562943834
single,4,3,0.8,0.8,90,60,412,100,680,3,0.42845188284518826,0.3772893772893773,0.9927710843373494,0.5467816854678169
single,4,3,0.8,0.8,90,65,409,150,630,6,0.46778242677824267,0.39364773820981713,0.9855421686746988,0.562585969738652
single,4,3,0.8,0.8,90,70,403,195,585,12,0.500418410041841,0.40789473684210525,0.9710843373493976,0.5744832501781896
single,4,3,0.8,0.8,90,75,395,240,540,20,0.5313807531380753,0.42245989304812837,0.9518072289156626,0.5851851851851853
single,4,3,0.8,0.8,90,80,382,303,477,33,0.5732217573221757,0.4447031431897555,0.9204819277108434,0.5996860282574569
single,4,3,0.8,0.8,90,85,367,384,396,48,0.6284518828451883,0.48099606815203144,0.8843373493975903,0.6230899830220713
single,4,3,0.8,0.8,90,90,329,458,322,86,0.6585774058577406,0.5053763440860215,0.7927710843373494,0.6172607879924953
single,4,3,0.8,0.8,90,95,302,526,254,113,0.6928870292887029,0.5431654676258992,0.727710843373494,0.6220391349124613
single,4,3,0.8,0.8,90,100,261,601,179,154,0.7213389121338912,0.5931818181818181,0.6289156626506024,0.6105263157894737
single,4,3,0.8,0.8,90,105,209,670,110,206,0.7355648535564854,0.6551724137931034,0.5036144578313253,0.5694822888283378
single,4,3,0.8,0.8,90,110,177,704,76,238,0.7372384937238494,0.6996047430830039,0.42650602409638555,0.5299401197604791
single,4,3,0.8,0.8,90,115,134,731,49,281,0.7238493723849372,0.73224043715847,0.3228915662650602,0.4481605351170568
single,4,3,0.8,0.8,95,40,415,1,779,0,0.34811715481171546,0.347571189279732,1.0,0.5158483530142947
single,4,3,0.8,0.8,95,45,415,3,777,0,0.3497907949790795,0.34815436241610737,1.0,0.5164903546981954
single,4,3,0.8,0.8,95,50,415,15,765,0,0.3598326359832636,0.3516949152542373,1.0,0.5203761755485894
single,4,3,0.8,0.8,95,55,414,37,743,1,0.37740585774058577,0.35782195332757133,0.9975903614457832,0.5267175572519084
single,4,3,0.8,0.8,95,60,413,67,713,2,0.401673640167364,0.36678507992895204,0.9951807228915662,0.536015574302401
single,4,3,0.8,0.8,95,65,412,109,671,3,0.43598326359832634,0.3804247460757156,0.9927710843373494,0.5500667556742322
single,4,3,0.8,0.8,95,70,410,159,621,5,0.47615062761506277,0.3976721629485936,0.9879518072289156,0.5670816044260027
single,4,3,0.8,0.8,95,75,402,200,580,13,0.503765690376569,0.4093686354378819,0.9686746987951808,0.5755189692197566
single,4,3,0.8,0.8,95,80,392,246,534,23,0.5338912133891214,0.42332613390928725,0.944578313253012,0.5846383296047726
single,4,3,0.8,0.8,95,85,381,315,465,34,0.5824267782426779,0.450354609929078,0.9180722891566265,0.6042823156225218
single,4,3,0.8,0.8,95,90,365,378,402,50,0.6217573221757322,0.4758800521512386,0.8795180722891566,0.6175972927241963
single,4,3,0.8,0.8,95,95,337,453,327,78,0.6610878661087866,0.5075301204819277,0.8120481927710843,0.6246524559777572
single,4,3,0.8,0.8,95,100,302,525,255,113,0.6920502092050209,0.5421903052064632,0.727710843373494,0.6213991769547325
single,4,3,0.8,0.8,95,105,263,597,183,152,0.7196652719665272,0.5896860986547086,0.6337349397590362,0.610917537746806
single,4,3,0.8,0.8,95,110,222,661,119,193,0.7389121338912134,0.6510263929618768,0.5349397590361445,0.5873015873015873
single,4,3,0.8,0.8,95,115,179,697,83,236,0.7330543933054393,0.683206106870229,0.43132530120481927,0.5288035450516986
single,4,3,0.8,0.8,100,40,415,0,780,0,0.3472803347280335,0.3472803347280335,1.0,0.515527950310559
single,4,3,0.8,0.8,100,45,415,1,779,0,0.34811715481171546,0.347571189279732,1.0,0.5158483530142947
single,4,3,0.8,0.8,100,50,415,5,775,0,0.3514644351464435,0.3487394957983193,1.0,0.5171339563862928
single,4,3,0.8,0.8,100,55,414,19,761,1,0.3623430962343096,0.3523404255319149,0.9975903614457832,0.5207547169811321
single,4,3,0.8,0.8,100,60,414,42,738,1,0.3815899581589958,0.359375,0.9975903614457832,0.5283982131461391
single,4,3,0.8,0.8,100,65,413,76,704,2,0.4092050209205021,0.36974037600716203,0.9951807228915662,0.5391644908616189
single,4,3,0.8,0.8,100,70,412,118,662,3,0.4435146443514644,0.38361266294227186,0.9927710843373494,0.5533915379449295
single,4,3,0.8,0.8,100,75,411,158,622,4,0.47615062761506277,0.3978702807357212,0.9903614457831326,0.5676795580110497
single,4,3,0.8,0.8,100,80,402,207,573,13,0.5096234309623431,0.4123076923076923,0.9686746987951808,0.5784172661870504
single,4,3,0.8,0.8,100,85,388,267,513,27,0.5481171548117155,0.4306326304106548,0.9349397590361446,0.5896656534954406
single,4,3,0.8,0.8,100,90,377,318,462,38,0.5815899581589958,0.44934445768772346,0.908433734939759,0.6012759170653906
single,4,3,0.8,0.8,100,95,362,383,397,53,0.6234309623430963,0.4769433465085639,0.8722891566265061,0.6166950596252129
single,4,3,0.8,0.8,100,100,333,466,314,82,0.6686192468619246,0.5146831530139103,0.8024096385542169,0.6271186440677966
single,4,3,0.8,0.8,100,105,302,533,247,113,0.698744769874477,0.5500910746812386,0.727710843373494,0.6265560165975104
single,4,3,0.8,0.8,100,110,264,592,188,151,0.7163179916317992,0.584070796460177,0.636144578313253,0.6089965397923875
single,4,3,0.8,0.8,100,115,220,659,121,195,0.7355648535564854,0.6451612903225806,0.5301204819277109,0.582010582010582
single,4,3,0.8,0.8,105,40,415,0,780,0,0.3472803347280335,0.3472803347280335,1.0,0.515527950310559
single,4,3,0.8,0.8,105,45,415,1,779,0,0.34811715481171546,0.347571189279732,1.0,0.5158483530142947
single,4,3,0.8,0.8,105,50,415,2,778,0,0.3489539748953975,0.34786253143336127,1.0,0.5161691542288558
single,4,3,0.8,0.8,105,55,414,10,770,1,0.3548117154811716,0.34966216216216217,0.9975903614457832,0.5178236397748593
single,4,3,0.8,0.8,105,60,414,22,758,1,0.36485355648535567,0.3532423208191126,0.9975903614457832,0.5217391304347827
single,4,3,0.8,0.8,105,65,414,43,737,1,0.38242677824267785,0.35968722849695917,0.9975903614457832,0.5287356321839081
single,4,3,0.8,0.8,105,70,413,81,699,2,0.41338912133891215,0.37140287769784175,0.9951807228915662,0.5409299279633268
single,4,3,0.8,0.8,105,75,411,115,665,4,0.4401673640167364,0.3819702602230483,0.9903614457831326,0.5513078470824949
single,4,3,0.8,0.8,105,80,411,168,612,4,0.4845188284518828,0.40175953079178883,0.9903614457831326,0.5716272600834492
single,4,3,0.8,0.8,105,85,400,215,565,15,0.5146443514644351,0.41450777202072536,0.963855421686747,0.5797101449275363
single,4,3,0.8,0.8,105,90,389,265,515,26,0.5472803347280335,0.4303097345132743,0.9373493975903614,0.5898407884761182
single,4,3,0.8,0.8,105,95,375,320,460,40,0.5815899581589958,0.4491017964071856,0.9036144578313253,0.6
single,4,3,0.8,0.8,105,100,360,391,389,55,0.6284518828451883,0.48064085447263016,0.8674698795180723,0.6185567010309277
single,4,3,0.8,0.8,105,105,335,471,309,80,0.6744769874476988,0.5201863354037267,0.8072289156626506,0.6326723323890463
single,4,3,0.8,0.8,105,110,300,528,252,115,0.6928870292887029,0.5434782608695652,0.7228915662650602,0.6204756980351603
single,4,3,0.8,0.8,105,115,264,598,182,151,0.7213389121338912,0.5919282511210763,0.636144578313253,0.6132404181184669
single,4,3,0.8,0.8,110,40,415,0,780,0,0.3472803347280335,0.3472803347280335,1.0,0.515527950310559
single,4,3,0.8,0.8,110,45,415,1,779,0,0.34811715481171546,0.347571189279732,1.0,0.5158483530142947
single,4,3,0.8,0.8,110,50,415,1,779,0,0.34811715481171546,0.347571189279732,1.0,0.5158483530142947
